"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\README.md", "Markdown", 0, 5, 0, 1, 6
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Administrator.py", "Python", 56, 0, 7, 16, 79
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Economics.py", "Python", 2153, 0, 139, 556, 2848
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\EventLogs.py", "Python", 36, 0, 1, 11, 48
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Events.py", "Python", 28, 0, 15, 12, 55
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Fun.py", "Python", 657, 0, 30, 85, 772
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Message.py", "Python", 161, 0, 38, 37, 236
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Rpg.py", "Python", 293, 0, 17, 53, 363
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\TestingEver.py", "Python", 224, 0, 12, 41, 277
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\Until.py", "Python", 240, 0, 54, 46, 340
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\base.py", "Python", 72, 0, 63, 13, 148
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\enemy_base\eventEnemy.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\enemy_base\higtEnemy.py", "Python", 4, 0, 0, 1, 5
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\enemy_base\lowEnemy.py", "Python", 17, 0, 2, 8, 27
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\enemy_base\midEnemy.py", "Python", 4, 0, 0, 1, 5
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\materials\player_obj\Player.py", "Python", 5, 0, 0, 3, 8
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\PG\pg.py", "Python", 853, 0, 20, 227, 1100
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\PG\sub_PG.py", "Python", 167, 0, 0, 21, 188
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\REQ_database.py", "Python", 333, 0, 11, 51, 395
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\RPG\Dialogs.py", "Python", 98, 0, 12, 33, 143
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\RPG\Shop.py", "Python", 18, 0, 2, 12, 32
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\RPG\System.py", "Python", 234, 0, 6, 28, 268
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\System.py", "Python", 14, 0, 0, 4, 18
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\Views.py", "Python", 238, 0, 13, 61, 312
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\ponymon\FightLoop.py", "Python", 998, 0, 56, 342, 1396
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\ponymon\Ponymons.py", "Python", 957, 0, 38, 218, 1213
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\cogs\module\ponymon\data.py", "Python", 20, 0, 4, 5, 29
"c:\Users\Ponyash\Desktop\Project Ponyashka\PonyashkaDiscord\core.py", "Python", 14, 0, 0, 4, 18
"Total", "-", 7894, 5, 540, 1891, 10330